CUSTOMER NAME,CUSTOMER CODE,MASTER REF,HOUSEBILL REF,DOCUMENT NO,DOCUMENT DATE,DUE DAYS,INVOICE AMOUNT,BALANCE AMOUNT
BAROODY IMPORTS INC,BARIMPCFT,nan,nan,AJF202100004359,2021-03-04 11:13:00,237.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,nan,nan,NYC202100001321,2021-01-27 15:30:00,273.0,5600.0,5600.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC911982,BEY11311,AJF202100008371,2021-04-19 05:50:00,191.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC911996,BEY11310,AJF202100008372,2021-04-19 05:53:00,191.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC911990,BEY11309,AJF202100008373,2021-04-19 06:00:00,191.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC906406,BEY11300,AJF202100008355,2021-04-19 05:27:00,191.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC947950,BEYNYC947950,AJF202100028504,2021-10-22 08:33:00,5.0,5950.0,5950.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC916040,BEYNYC916040,AJF202100013340,2021-06-06 10:22:00,143.0,3073.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC904111,BEY11295,NYC202100001549,2021-01-30 04:31:00,270.0,400.0,400.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUMERNYC947475,IZ000027886,AJF202100027425,2021-10-13 17:13:00,14.0,5950.0,5950.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC894926,BEY11276,NYC202100001542,2021-01-30 04:09:00,270.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC921757,BEY11333,AJF202100016817,2021-07-07 16:48:00,112.0,800.0,800.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC895078,BEY11275,NYC202100001546,2021-01-30 04:24:00,270.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC921760,BEY11337,AJF202100016814,2021-07-07 16:46:00,112.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC894899,BEY11273,NYC202100001547,2021-01-30 04:25:00,270.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC898115,BEYNYC898115,NYC202100002028,2021-02-05 04:50:00,264.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC905563,BEY11298,NYC202100004302,2021-03-03 16:09:00,238.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC913414,BEY1120344,AJF202100010321,2021-05-06 10:52:00,174.0,195.0,195.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC921773,BEY11334,AJF202100016818,2021-07-07 16:49:00,112.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC916511,BEY11319,AJF202100009383,2021-04-28 18:00:00,182.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,nan,nan,AJF202100020540,2021-08-12 17:04:00,76.0,1000.0,1000.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC921778,BEY11335,AJF202100016816,2021-07-07 16:48:00,112.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC917956,BEY11321,AJF202100009385,2021-04-28 18:02:00,182.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC919224,BEY11323,AJF202100008359,2021-04-19 05:33:00,191.0,600.0,600.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC916051,BEY11318,AJF202100009382,2021-04-28 17:59:00,182.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,nan,nan,NYC202100001526,2021-01-29 15:18:00,271.0,2200.0,2200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC919281,BEY11324,AJF202100009387,2021-04-28 18:04:00,182.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC917962,BEY11320,AJF202100009384,2021-04-28 18:01:00,182.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC919243,BEY11326,AJF202100009389,2021-04-28 18:06:00,182.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC915525,BEY11316,AJF202100008370,2021-04-19 05:49:00,191.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,nan,nan,AJF202100005163,2021-03-15 14:48:00,226.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,nan,nan,NYC202100003151,2021-02-17 04:19:00,252.0,200.0,200.0
BAROODY IMPORTS INC,BARIMPCFT,TRKUBEYNYC920343,BEY11329,AJF202100015616,2021-06-24 18:04:00,125.0,200.0,200.0
